,Country Name,Country Code,Indicator Name,1988_FN,1989_FN,1990_FN,1991_FN,1992_FN,1993_FN,1994_FN,1995_FN,1996_FN,1997_FN,1998_FN,1999_FN,2000_FN,2001_FN,2002_FN,2003_FN,2004_FN,2005_FN,2006_FN,2007_FN,2008_FN,2009_FN,2010_FN,2011_FN,2012_FN,2013_FN,2014_FN,2015_FN,2016_FN,2017_FN,2018_FN,2019_FN,2020_FN,2021_FN,2022_FN,1988_AR,1989_AR,1990_AR,1991_AR,1992_AR,1993_AR,1994_AR,1995_AR,1996_AR,1997_AR,1998_AR,1999_AR,2000_AR,2001_AR,2002_AR,2003_AR,2004_AR,2005_AR,2006_AR,2007_AR,2008_AR,2009_AR,2010_AR,2011_AR,2012_AR,2013_AR,2014_AR,2015_AR,2016_AR,2017_AR,2018_AR,2019_AR,2020_AR,2021_AR,2022_AR
0,Aruba,ABW,Weighted mean tariff rate (MFN vs Applied),,,,,,,,,,,,,,,,,,,,,,,,9.97,9.52,9.69,,10.02,10.16,10.3,10.15,12.12,,9.66,,,,,,,,,,,,,,,,,,,,,,,,,9.97,9.52,9.69,,10.02,10.16,10.3,10.15,12.12,,9.66,
1,Africa Eastern and Southern,AFE,Weighted mean tariff rate (MFN vs Applied),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Afghanistan,AFG,Weighted mean tariff rate (MFN vs Applied),,,,,,,,,,,,,,,,,4.01,,7.79,7.81,5.0,,,,5.5,5.5,,,,,5.72,,,,,,,,,,,,,,,,,,,,,4.01,,7.79,7.8,5.0,,,,5.47,5.47,,,,,5.63,,,,
3,Africa Western and Central,AFW,Weighted mean tariff rate (MFN vs Applied),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Angola,AGO,Weighted mean tariff rate (MFN vs Applied),,,,,,,,,,,,,,,8.44,,6.16,7.08,7.08,,9.17,9.15,9.23,8.36,7.61,7.52,10.3,9.38,9.38,,7.68,6.52,9.23,11.33,8.85,,,,,,,,,,,,,,,8.44,,6.16,7.08,7.08,,9.17,9.15,9.23,8.36,7.61,7.52,10.3,9.38,9.38,,7.68,6.52,9.23,11.33,8.85
5,Albania,ALB,Weighted mean tariff rate (MFN vs Applied),,,,,,,,,,14.41,,,11.65,11.28,8.35,8.17,7.34,7.36,6.61,5.86,5.14,4.9,4.87,4.59,3.54,3.69,3.69,3.58,3.53,2.66,3.16,3.16,3.32,3.32,3.19,,,,,,,,,,14.41,,,11.65,11.28,8.35,8.17,7.34,7.11,6.61,5.72,2.08,4.9,4.87,1.24,1.1,1.17,1.14,1.11,1.06,0.85,1.02,1.02,1.1,1.13,0.26
6,Andorra,AND,Weighted mean tariff rate (MFN vs Applied),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Arab World,ARB,Weighted mean tariff rate (MFN vs Applied),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,United Arab Emirates,ARE,Weighted mean tariff rate (MFN vs Applied),,,,,,,,,,,,,,,,,,4.42,,3.95,3.88,3.88,,3.87,3.6,3.69,3.6,3.34,3.18,4.91,4.71,4.27,3.6,2.97,,,,,,,,,,,,,,,,,,,4.2,,3.69,3.62,3.62,,3.87,3.53,3.61,3.21,2.99,2.82,4.75,4.4,3.94,3.28,2.63,
9,Argentina,ARG,Weighted mean tariff rate (MFN vs Applied),,,,,12.66,12.53,,11.41,13.4,13.93,15.67,14.76,14.49,13.51,12.01,12.87,12.21,11.74,11.92,12.17,10.43,12.21,12.52,12.03,11.92,11.01,11.5,11.53,12.32,14.68,12.41,11.47,11.14,10.4,10.29,,,,,12.66,12.53,,8.34,13.33,13.93,15.67,11.29,10.52,9.25,12.01,12.87,5.96,5.22,5.49,5.83,5.39,5.93,5.99,5.68,6.02,6.27,6.63,7.35,7.53,7.93,7.42,7.26,6.88,6.51,6.45
